Component,Part,References,Value,Footprint,Quantity Per PCB,Digikey Link,Farnell PN,Farnell Link,Elfa Link,Mouser PN,Mfg. Name,Mfg. Part Number,Elfa PN,Digikey PN
24,LM337IMP-4PIN,U9,LM337IMP/NOPB,SOT-223,1,https://www.digikey.se/product-detail/en/texas-instruments/LM337IMP-NOPB/LM337IMP-NOPBCT-ND/270746,2781817,https://se.farnell.com/texas-instruments/lm337imp-nopb/linear-volt-reg-1-2-37v-1-5a-sot223/dp/2781817,https://www.elfa.se/sv/spaenningsregulator-37-sot-223-lm337-texas-instruments-lm337imp-nopb/p/17328875,926-LM337IMP/NOPB,Texas Instruments,LM337IMP/NOPB,173-28-875,LM337IMP/NOPBCT-ND
25,OP275,U4 U6 U8,LTC6241IS8#PBF,SOIC-8_3.9x4.9mm_Pitch1.27mm,3,https://www.digikey.se/products/en?keywords=LTC6241IS8%23PBF,,,,584-LTC6241IS8#PBF,Linear Technology/Analog Devices,LTC6241IS8#PBF,,LTC6241IS8#PBF-ND
26,LM324,U7,MAX44252ASD+,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,https://www.digikey.se/product-detail/en/maxim-integrated/MAX44252ASD/MAX44252ASD-ND/2816359,2510952,https://se.farnell.com/maxim-integrated-products/max44252asd/op-f-rst-rkare-10mhz-8v-s-nsoic/dp/2510952,,700-MAX44252ASD+,Maxim Integrated,MAX44252ASD+,,MAX44252ASD+-ND
27,MAX504,U2,MAX504ESD,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,https://www.digikey.se/product-detail/en/maxim-integrated/MAX504ESD/MAX504ESD-ND/1512537,2514723,https://se.farnell.com/maxim-integrated-products/max504esd/d-a-omvandlare-10bit-nsoic-14/dp/2514723,,700-MAX504ESD,Maxim Integrated,MAX504ESD+,,MAX504ESD+-ND





Component Groups:,38
Component Count:,148
Fitted Components:,107
Number of PCBs:,1
Total components:,107
Schematic Version:,
Schematic Date:,
BoM Date:,ons 25 apr 2018 15:19:41
Schematic Source:,/home/thardin/projects/spacehackers/ulv_electronics/fieldmill10/fieldmill10.sch
KiCad Version:,Eeschema 4.0.5+dfsg1-4
