 35375, 3730081, 39649,  911,   -260985,   1203658,   -227629,   1212861,   -182258,   1157661, 39315, 4181884, 44034, 1021,    -24371,      -414,    -22001,      -679,     -8920,       413
 41449, 4264817, 44399, 1041,   -452969,    977440,   -445059,   1001322,   -408035,    973389, 41534, 4222608, 42706, 1031,    -23076,       544,    -21168,      -261,     -7259,      2899
 42063, 4240824, 42903, 1035,   -447618,    986552,   -437107,   1010378,   -396698,    984416, 42053, 4225044, 42463, 1031,    -23735,      -245,    -21490,      -371,     -8971,      2631
 42084, 4245962, 42824, 1036,   -455045,    985869,   -440258,   1007734,   -397145,    975112, 42097, 4223729, 42427, 1032,    -23917,       683,    -21636,      -375,     -8226,      2966
 42091, 4241932, 42790, 1035,   -452348,    986388,   -436504,   1009359,   -395288,    980772, 42041, 4221788, 42413, 1031,    -24445,        -7,    -22076,      -425,     -8966,      2317
 42110, 4243285, 42798, 1036,   -447544,    983552,   -441674,   1007427,   -404229,    981434, 42035, 4220175, 42418, 1031,    -22598,      -232,    -21010,      -843,     -6150,      1552
 42106, 4243102, 42789, 1036,   -445140,    984948,   -446281,   1008746,   -414163,    977249, 40184, 4178556, 42394, 1020,    -22842,     -1203,    -21520,     -1417,     -5877,      -626
 34933, 3715476, 40273,  907,   -226215,   1211201,   -230482,   1206120,   -210373,   1144377, 32011, 3348488, 34893,  817,    -24092,      8936,    -22629,      8459,     -2973,      1103
 29493, 3081395, 32418,  752,    251346,   1405731,    262998,   1444188,    273996,   1391450, 27511, 2853506, 29547,  696,    -27441,     24015,    -24696,     21460,    -12869,     11911
 25873, 2677745, 27860,  653,    758344,   1445103,    765537,   1414270,    744066,   1313681, 24429, 2518889, 25990,  615,    -21325,     26730,    -18964,     25044,    -11126,      2030
 23180, 2390158, 24855,  583,   1222081,   1235912,   1239297,   1276443,   1198986,   1224335, 22367, 2278900, 23284,  556,     -6105,     36300,     -6368,     33490,      3864,     10696
 22283, 2258779, 23035,  551,   1478372,   1106670,   1448442,   1093510,   1376111,   1018206, 22699, 2296506, 23133,  560,    -12959,     41214,    -11163,     36998,     -7405,     20038
 22623, 2291458, 23323,  560,   1391752,   1124328,   1421799,   1162349,   1382086,   1115979, 22652, 2281844, 22942,  557,    -15337,     38208,    -12934,     34415,    -13426,     13391
 22577, 2282957, 23240,  557,   1391954,   1141705,   1446087,   1126585,   1419444,   1041605, 22686, 2287718, 22981,  558,    -12034,     31833,    -10654,     30581,     -5979,      2210
 22596, 2285340, 23239,  558,   1395143,   1158254,   1432217,   1121773,   1393477,   1023235, 22688, 2287696, 22999,  558,     -9321,     31606,     -8764,     30092,     -1584,      2088
 22612, 2284185, 23265,  558,   1421219,   1153766,   1417647,   1119019,   1351599,   1022797, 22690, 2286749, 22968,  558,     -6920,     38894,     -6990,     34998,      3092,     15717
 22604, 2284946, 23275,  558,   1416577,   1115894,   1415052,   1156626,   1352346,   1109337, 22681, 2286499, 22991,  558,    -13059,     41310,    -11444,     36112,     -8213,     18916
 22609, 2283772, 23245,  558,   1406386,   1107802,   1434381,   1145743,   1402821,   1100507, 22682, 2287393, 22988,  558,    -15263,     34720,    -12663,     32389,    -12426,      7665
 22613, 2285370, 23245,  558,   1395863,   1157740,   1434573,   1123575,   1398910,   1028918, 22682, 2286154, 22988,  558,    -11237,     31774,    -10129,     30082,     -4608,      1559
 22601, 2283262, 23229,  557,   1421643,   1155678,   1415678,   1115551,   1350528,   1020852, 22685, 2287128, 23022,  558,     -5766,     38095,     -6097,     34852,      4859,     13919
 22616, 2284728, 23251,  558,   1434264,   1130678,   1403631,   1143034,   1323514,   1080657, 22685, 2286717, 22973,  559,     -8917,     42038,     -8180,     36889,     -1269,     20439
 22605, 2285353, 23251,  558,   1395730,   1121362,   1429531,   1159637,   1389804,   1111877, 22694, 2286724, 22971,  559,    -15693,     39248,    -13060,     34636,    -13300,     14285
 22605, 2281719, 23217,  557,   1395061,   1131148,   1443408,   1129979,   1424250,   1057875, 22687, 2286774, 22973,  558,    -11376,     31860,    -10026,     30414,     -4128,      2230
